Brand,rating,price
Reebok,4.2,2161.00
Reebok,3.9,1479.00
Reebok,3,1643.00
Reebok,3.1,1343.00
Reebok,3.7,1057.00
Reebok,3.8,2228.00
Reebok,4.1,2652.00
Reebok,3.9,1711.00
Reebok,4.1,2844.00
Reebok,4,2190.00
Reebok,4.4,1439.00
Reebok,4.5,2153.00
Reebok,3.6,1592.00
Reebok,3.7,2149.00
Reebok,3.7,3254.00
Reebok,3.9,1706.00
Reebok,4.1,1583.00
Reebok,3.8,1318.00
Reebok,4.1,2879.00
Reebok,3.9,1794.00
Reebok,3.1,2932.00
Reebok,4,1455.00
Reebok,3.8,1999.00
Reebok,4,2243.00
Reebok,3.1,2814.00
Reebok,4.8,1528.00
Reebok,4.4,1869.00
Reebok,4.5,1823.00
Reebok,4.1,1913.00
Reebok,3,2446.00
Reebok,3.7,1604.00
Reebok,4.5,2111.00
Reebok,3.7,1810.00
Reebok,4.1,1231.00
Reebok,3.7,950.00
Reebok,3.8,2640.00
Reebok,4,1705.00
Reebok,3.9,1873.00
Reebok,4.3,1641.00
Reebok,3.8,1747.00
Reebok,5,2446.00
Reebok,4,1348.00
Reebok,3.4,1343.00
Reebok,4,1908.00
Reebok,4.1,2116.00
Reebok,3.9,1605.00
Reebok,4,1769.00
Reebok,4.3,1420.00
Reebok,3.7,1972.00
Reebok,4,1483.00
Reebok,3.9,1482.00
Reebok,3.6,1627.00
Reebok,3.9,1706.00
Reebok,4.3,1823.00
Reebok,4.1,1633.00
Reebok,4,0.00
Reebok,4.1,2127.00
Reebok,1,3183.00
Reebok,4.3,2459.00
Reebok,3.6,1641.00
Reebok,4,1688.00
Reebok,4.1,1323.00
Reebok,4.1,1923.00
Reebok,3.6,1483.00
Reebok,3.9,1664.00
Reebok,3.9,2111.00
Reebok,4.2,4129.00
Reebok,4.2,1584.00
Reebok,3.2,2128.00
Reebok,4.1,1759.00
Reebok,4,1641.00
Reebok,3.7,1816.00
Reebok,4.2,1725.00
Reebok,3.7,1383.00
Reebok,4,2275.00
Reebok,4.1,1449.00
Reebok,4.5,0.00
Reebok,3.9,2459.00
Reebok,3.5,1935.00
Reebok,3.7,4691.00
Reebok,4.4,5642.00
Reebok,4.1,3119.00
Reebok,4,2345.00
Reebok,4.6,1679.00
Reebok,4.5,1489.00
Reebok,3.8,1194.00
Reebok,3.9,2207.00
Reebok,4,4579.00
Reebok,3.9,1799.00
Reebok,3.9,1862.00
Reebok,3.6,1131.00
Reebok,3.2,2407.00
Reebok,3.7,2616.00
Reebok,3.6,0.00
Reebok,3.6,1979.00
Reebok,4,2496.00
Reebok,3.2,1641.00
Reebok,4.2,2228.00
Reebok,4.2,2058.00
Reebok,3,2873.00
Reebok,4,1956.00
Reebok,3.9,2111.00
Reebok,5,2536.00
Reebok,4,2399.00
Reebok,4,2189.00
Reebok,3.6,1673.00
Reebok,3.4,1571.00
Reebok,5,1524.00
Reebok,3.7,2175.00
Reebok,4.4,2515.00
Reebok,4,2443.00
Reebok,3.6,1935.00
Reebok,2,2935.00
Reebok,4,2712.00
Reebok,4.2,1524.00
Reebok,4.6,1687.00
Reebok,3,1749.00
Reebok,3.9,3214.00
Reebok,4.3,1380.00
Reebok,4,2273.00
Reebok,3.6,1775.00
Reebok,3.8,2008.00
Reebok,4,2008.00
Reebok,4,2152.00
Reebok,3.9,1294.00
Reebok,3.7,1482.00
Reebok,3.5,1218.00
Reebok,3.9,3179.00
Reebok,3.7,1348.00
Reebok,3,1848.00
Reebok,4,1320.00
Reebok,4,1281.00
Reebok,4,1567.00
Reebok,3.1,1524.00
Reebok,2,1340.00
Reebok,4.5,863.00
Reebok,5,2465.00
Reebok,4.5,1839.00
Reebok,3.8,2623.00
Reebok,3.9,2345.00
Reebok,3.4,4863.00
Reebok,3.9,1281.00
Reebok,3,4430.00
Reebok,4.1,3494.00
Reebok,4.2,2449.00
Reebok,3.5,2154.00
Reebok,4.3,1410.00
Reebok,4,2111.00
Reebok,4.2,1231.00
Reebok,4.3,1231.00
Reebok,3.6,1759.00
Reebok,3.8,2987.00
Reebok,3.3,2529.00
Reebok,2,2407.00
Reebok,4.2,2755.00
Reebok,4.2,1479.00
Reebok,3.8,1735.00
Reebok,4.5,1766.00
Reebok,3.9,1775.00
Reebok,4.2,2399.00
Reebok,5,1871.00
Reebok,3.7,0.00
Reebok,4.2,2814.00
Reebok,3.8,0.00
Reebok,4.2,2278.00
Reebok,4.1,1455.00
Skechers,4.1,3429.00
Skechers,4.2,2914.00
Skechers,3.9,3036.00
Skechers,4.4,3709.00
Skechers,4.4,3150.00
Skechers,3.7,3340.00
Skechers,4,3899.00
Skechers,4.3,4250.00
Skechers,3.2,5849.00
Skechers,3.9,2732.00
Skechers,4.1,0.00
Skechers,4.1,2933.00
Skechers,3.9,2699.00
Skechers,3.6,2663.00
Skechers,4.3,3036.00
Skechers,4,2320.00
Skechers,3.9,3340.00
Skechers,4.2,3038.00
Skechers,4.5,3643.00
Skechers,3.7,4799.00
Skechers,4.1,3369.00
Skechers,3.9,4199.00
Skechers,3.9,3340.00
Skechers,4.5,2800.00
Skechers,4.5,6174.00
Skechers,4.3,3396.00
Skechers,3.8,3340.00
Skechers,3.7,5199.00
Skechers,4.3,3155.00
Skechers,4.5,2307.00
Skechers,4.5,0.00
Skechers,4.4,3947.00
Skechers,4.1,3036.00
Skechers,4.1,4199.00
Skechers,4.3,3643.00
Skechers,4.1,3779.00
Skechers,4.2,3599.00
Skechers,4.3,4059.00
Skechers,3.8,2732.00
Skechers,4.3,6174.00
Skechers,4,4858.00
Skechers,4.1,3849.00
Skechers,4.5,1700.00
Skechers,4.2,3199.00
Skechers,4.6,3709.00
Skechers,3.7,3069.00
Skechers,3.9,3599.00
Skechers,4.2,3574.00
Skechers,4.3,5399.00
Skechers,4.1,5849.00
Skechers,4.4,2999.00
Skechers,4.2,2732.00
Skechers,4.5,2600.00
Skechers,4.1,2699.00
Skechers,4.6,3179.00
Skechers,4.7,2732.00
Skechers,4.1,3238.00
Skechers,4.3,3036.00
Skechers,4.2,3340.00
Skechers,4.5,2799.00
Skechers,4.2,4799.00
Skechers,4.1,3599.00
Skechers,4.1,0.00
Skechers,4.3,3036.00
Skechers,3.2,2100.00
Skechers,4.2,3218.00
Skechers,4.3,2732.00
Skechers,4.1,4199.00
Skechers,3.5,0.00
Skechers,4.2,3179.00
Skechers,4.1,3340.00
Skechers,4.5,2909.00
Skechers,4.4,4499.00
Skechers,4,3500.00
Skechers,3.8,4199.00
Skechers,4.3,3599.00
Skechers,4.1,2611.00
Skechers,3.8,4250.00
Skechers,4.2,3340.00
Skechers,4.6,2732.00
Skechers,4.1,3947.00
Skechers,4.1,3439.00
Skechers,4.4,2003.00
Skechers,4.4,2732.00
Skechers,4.6,5799.00
Skechers,4.3,4199.00
Skechers,3.2,6599.00
Skechers,3.7,2732.00
Skechers,4.1,3299.00
Skechers,5,4250.00
Skechers,4.5,4549.00
Skechers,4.6,4345.00
Skechers,4.7,0.00
Skechers,4.4,0.00
Skechers,4.4,4199.00
Skechers,4.5,3245.00
Skechers,4.3,3409.00
Skechers,3.2,2094.00
Skechers,3.7,3643.00
Skechers,4.2,0.00
Skechers,4.4,3404.00
Skechers,4.3,1707.00
Skechers,4.1,2949.00
Skechers,4.2,3299.00
Skechers,5,1924.00
Skechers,5,3000.00
Skechers,4.1,4858.00
Skechers,3.8,4239.00
Skechers,4.7,3599.00
Skechers,4.5,3340.00
Skechers,5,2429.00
Skechers,5,4250.00
Skechers,3.4,3569.00
Skechers,3.6,4500.00
Skechers,3.7,3279.00
Skechers,4.1,5199.00
Skechers,4.7,5849.00
Skechers,4.5,4250.00
Skechers,4.5,2064.00
Skechers,4.3,3439.00
Skechers,5,3643.00
Skechers,4.1,2035.00
Skechers,4,5994.00
Skechers,3,2125.00
Skechers,4.3,3849.00
Skechers,4,4554.00
Skechers,3.6,1700.00
Skechers,3.8,3599.00
Skechers,4.7,3643.00
Skechers,4.2,5849.00
Skechers,4.4,5199.00
Skechers,4.1,3920.00
Skechers,4.3,3299.00
Skechers,4.2,5199.00
Skechers,4.2,5599.00
Skechers,4.1,2400.00
Skechers,4.3,5199.00
Skechers,4.6,5524.00
Skechers,4,2977.00
Skechers,3.3,5099.00
Skechers,4.7,2025.00
Skechers,4.4,4199.00
Skechers,3.9,0.00
Skechers,3.4,3921.00
Skechers,5,2003.00
Skechers,4.4,4799.00
Skechers,3.7,4499.00
Skechers,4.1,6680.00
Skechers,4.3,3769.00
Skechers,4,4077.00
Skechers,4.3,4549.00
Skechers,3.5,2169.00
Skechers,4.6,7499.00
Skechers,4.3,4199.00
Skechers,4.2,0.00
Skechers,3.7,3522.00
Skechers,4,3522.00
Skechers,3.4,5199.00
Skechers,3.9,2449.00
Skechers,4.3,5524.00
Skechers,3.9,3599.00
